Codi,Provincia,Cla,Subclase,Especie,Rumbo,Dist,Fac,CD,DiamIf3,DiamIf2,HeiIf3
172430,17,A,1,046,226,4.4,127.32,20,18.6,17.6,6
172432,17,A,1,046,146,4.9,127.32,45,46.45,42.3,10.5
172433,17,A,1,046,195,3.59,127.32,20,21.6,20.45,6.5
172434,17,A,1,046,285,7.4,31.83,20,21.6,20.15,9
172435,17,A,1,046,175,9.5,31.83,20,19.15,16.2,5.5
172436,17,A,1,046,98,1.79,127.32,10,11.9,9.9,7.5
172438,17,A,1,046,209,4.59,127.32,15,14.7,12,5.5
172439,17,A,1,046,20,2,127.32,15,12.7,11.6,6
172440,17,A,1,024,46,5.09,31.83,25,26.55,22.4,14.5
172443,17,A,1,046,119,6.3,31.83,20,19.3,16.25,8.5
172445,17,A,1,023,124,5.5,31.83,40,39.75,34.75,13
172446,17,A,1,023,290,7.59,31.83,40,39.85,31.25,13
172447,17,A,1,046,108,14.39,14.14,30,30.4,28,9
172450,17,A,1,046,106,11.1,14.14,20,19.15,16.55,8.5
172451,17,A,1,046,277,9.8,31.83,15,15.1,15.95,4
172452,17,A,1,046,200,4.69,127.32,15,16.25,12.95,4.5
172454,17,A,1,023,104,10.6,14.14,25,25.25,23.45,9
172455,17,A,1,024,143,15,5.09,30,29.55,24.05,13
172456,17,A,1,023,124,9.89,31.83,35,34.95,32.95,11
172458,17,A,1,023,217,13.89,14.14,35,35.55,32.2,11.5
172459,17,A,1,026,241,9,31.83,35,34.55,21.4,15.5
172460,17,A,1,046,275,12.5,14.14,30,28.1,25.6,8.5
172462,17,A,1,046,27,6.09,31.83,15,13.7,12.9,6
172463,17,A,1,045,106,9.5,31.83,20,21.55,18.9,8.5
172464,17,A,1,046,130,3.7,127.32,30,30.1,28.7,8.5
172465,17,A,1,046,204,8.19,31.83,25,23.55,21.75,7.5
172466,17,A,1,046,123,10,14.14,25,25.4,25,7
172468,17,A,1,046,133,8.69,31.83,15,16.2,14.1,4.5
172469,17,A,1,026,291,6.9,31.83,20,20.55,13.45,14
172470,17,A,1,023,168,14.19,14.14,50,52.05,44.6,16.5
172471,17,A,1,023,251,8.69,31.83,40,40.2,34.45,11
172472,17,A,1,046,67,12.6,14.14,15,17.4,14.9,8
172473,17,A,1,046,180,7.19,31.83,15,16.85,14.05,5.5
172474,17,A,1,026,160,4.59,127.32,15,17.2,9.15,9
172476,17,A,1,046,137,0.8,127.32,30,31.55,28.85,6.5
172478,17,A,1,046,189,3.79,127.32,20,21.05,19.7,7.5
172479,17,A,1,046,68,4.69,127.32,15,15.2,12.4,6
172481,17,A,1,045,110,4.5,127.32,15,14.8,12.55,6
172482,17,A,1,046,106,6.09,31.83,15,15.4,14.25,6
172488,17,A,1,024,122,14.6,14.14,30,29.75,23.7,13.5
172489,17,A,1,023,185,14.39,14.14,40,37.7,33.6,10.69
172490,17,A,1,024,120,4.3,127.32,45,46.7,38.5,15.1
172493,17,A,1,026,282,3.4,127.32,15,15.8,8.6,7.5
172495,17,A,1,023,41,9.5,31.83,25,24.5,23.55,13.19
172499,17,A,1,024,64,8.8,31.83,25,27.25,18.6,13.5
172502,17,A,1,024,235,4.4,127.32,25,25.45,14.8,11.69
172503,17,A,1,045,122,8.3,31.83,15,16.8,14.45,7.4
172505,17,A,1,023,68,13.8,14.14,25,25.95,24.75,11.19
172507,17,A,1,024,244,3.7,127.32,35,36,26.65,14.39
172510,17,A,1,024,114,8.69,31.83,20,18.1,15.9,6.5
172511,17,A,1,023,80,14.5,14.14,30,29.15,25.2,8.1
172512,17,A,1,024,29,12.3,14.14,30,30.35,25.55,11.39
172515,17,A,1,024,78,3.5,127.32,25,26.4,21.85,12.89
172516,17,A,1,046,30,8.8,31.83,15,15,13.25,6.59
172518,17,A,1,024,113,11.3,14.14,25,26,24.15,16.5
172520,17,A,1,071,159,2.59,127.32,10,12,9.1,9
172521,17,A,1,071,107,14.5,14.14,50,50.75,48.15,20
172523,17,A,1,255,165,8.6,31.83,25,22.95,20.6,17.5
172526,17,A,1,045,199,6.8,31.83,20,19.25,15,8.1
172527,17,A,1,046,55,9.1,31.83,20,21.05,17,10
172528,17,A,1,046,74,4.3,127.32,20,20.6,18.6,6.5
172532,17,A,1,071,84,8,31.83,15,17.25,15.8,15
172533,17,A,1,045,271,5,31.83,10,9.9,8.75,5.9
172534,17,A,1,045,148,7.9,31.83,20,19.9,16.9,7.59
172536,17,A,1,045,170,9.8,31.83,20,20.9,12.85,9.5
172537,17,A,1,045,161,3.4,127.32,15,16,11.85,8.5
172539,17,A,1,071,63,9.19,31.83,25,24.95,21.25,15.69
172540,17,A,1,071,219,14.6,14.14,35,32.6,25.1,28.89
172541,17,A,1,045,113,13.5,14.14,25,27.45,24.2,9.6
172543,17,A,1,045,185,2.09,127.32,10,11.15,8.55,5.5
172545,17,A,1,071,48,7.69,31.83,25,25.9,20.5,20
172546,17,A,1,045,50,4.5,127.32,15,16.15,13.55,7.5
172547,17,A,1,031,86,15.5,5.09,35,33.85,32,15.5
172548,17,A,1,071,33,8.8,31.83,20,21.55,19.45,25
172551,17,A,1,045,237,3.4,127.32,20,20.25,12.35,11
172554,17,A,1,072,140,21.29,5.09,70,77,73.2,12
172555,17,A,1,046,53,8.19,31.83,40,39.85,37.55,11
172556,17,A,1,046,134,4.69,127.32,25,24.85,26.15,9
172557,17,A,1,046,59,12.8,14.14,25,22.75,22.9,10
172560,17,A,1,046,138,5.69,31.83,20,19.2,16.9,5.5
172561,17,A,1,023,138,15.3,5.09,40,38.3,35.15,12.5
172562,17,A,1,046,126,11.1,14.14,25,26.7,25.3,7
172564,17,A,1,046,111,23,5.09,65,63.8,60.7,16.5
172565,17,A,1,046,249,6,31.83,25,25.3,20.85,10
172567,17,A,1,045,78,7.3,31.83,15,16.95,14.15,10
172572,17,A,1,045,34,9,31.83,20,21.2,18.35,13
