Codi,Provincia,Cla,Subclase,Especie,Rumbo,Dist,Fac,CD,DiamIf3,DiamIf2,HeiIf3
430080,43,A,1,045,279,3.2,127.32,15,16.15,11.7,5.09
430081,43,A,1,026,188,8.6,31.83,30,29.9,27.25,11.3
430091,43,A,1,068,295,2,127.32,10,8.85,7.75,4.69
430092,43,A,1,045,195,3.5,127.32,10,9.9,9.1,5
430093,43,A,1,045,164,1.5,127.32,15,13.65,10.75,8
430097,43,A,1,025,287,4.4,127.32,30,32.2,28.85,10
430100,43,A,1,024,388,10.89,14.14,25,27.05,22.8,6.69
430104,43,A,1,045,340,1.6,127.32,10,11.45,10.6,6
430106,43,A,1,021,140,7.19,31.83,40,38.25,35.6,15.8
430107,43,A,1,045,247,5.19,31.83,20,18,16.15,7.3
430116,43,A,1,024,371,9.19,31.83,20,19.8,15.35,7.8
430120,43,A,1,045,310,1.2,127.32,10,10.45,9.25,7.3
430121,43,A,1,045,168,4.5,127.32,20,19.1,16.55,11
430129,43,A,1,045,206,8.69,31.83,15,13.9,13.05,5.5
430130,43,A,1,045,212,3,127.32,10,9.45,8.55,6
430133,43,A,1,025,102,1.1,127.32,30,31.1,28.5,14
430135,43,A,1,025,276,6.8,31.83,25,23.1,19.05,9.1
430139,43,A,1,243,234,3.2,127.32,10,11.9,9.8,5.5
430142,43,A,1,024,392,1.79,127.32,15,15.6,13.95,5.5
430146,43,A,1,024,376,2.09,127.32,10,10.95,8.4,6.8
430154,43,A,1,024,270,4.69,127.32,10,10.6,10.3,6.5
430161,43,A,1,025,197,14.1,14.14,30,29.1,24.65,15
430171,43,A,1,025,328,8.3,31.83,20,17.6,14.4,10
430183,43,A,1,024,307,2,127.32,15,16.9,13.5,9
430193,43,A,1,024,363,10,14.14,30,30.9,18.45,10
430194,43,A,1,025,242,9.39,31.83,20,19.95,15.4,10
430195,43,A,1,024,340,4.59,127.32,20,20.7,17.7,12
430202,43,A,1,024,196,7.69,31.83,30,29.85,25.15,10
430206,43,A,1,024,245,9.19,31.83,20,19.75,14.75,10
430208,43,A,1,024,267,4.8,127.32,20,20.85,16.5,10
430211,43,A,1,024,275,8,31.83,25,24.4,17.85,9
430219,43,A,1,024,195,10.8,14.14,30,27.7,22.65,9.5
430223,43,A,1,024,143,11.5,14.14,30,28.55,24.35,11
430229,43,A,1,024,346,11.5,14.14,30,30.05,27.5,14
430238,43,A,1,025,96,0.8,127.32,20,22.45,18.55,12.5
430239,43,A,1,024,258,4.9,127.32,20,17.8,13.2,11
430242,43,A,1,024,304,13.6,14.14,40,38,32.85,14
430247,43,A,1,024,362,6.59,31.83,25,23.05,18.95,10
430266,43,A,1,024,136,9.8,31.83,20,18.35,12.95,9.5
430270,43,A,1,024,228,8.39,31.83,30,30,26,15
430272,43,A,1,024,353,6.4,31.83,20,22,20.8,6.5
430273,43,A,1,024,317,1.7,127.32,10,9.05,8.55,4.5
430274,43,A,1,024,361,2.79,127.32,30,29.45,22.55,10.5
430275,43,A,1,024,366,13.3,14.14,35,33.65,22.8,14.5
430277,43,A,1,024,331,4.9,127.32,15,16.25,12.6,12
430279,43,A,1,024,267,5.69,31.83,20,20.1,14.05,11
430296,43,A,1,024,346,5,31.83,25,25.45,22.6,10.5
430303,43,A,1,024,395,6.09,31.83,25,24.75,18.9,9
430304,43,A,1,024,298,6.19,31.83,20,17.9,13.85,8.5
430326,43,A,1,024,351,5.8,31.83,15,16.95,16.3,6.5
430366,43,A,1,024,210,6.9,31.83,20,17.85,17.7,12
430381,43,A,1,024,154,4.69,127.32,10,12.25,10.85,6.5
430424,43,A,1,024,334,11.69,14.14,25,26.95,24.05,12.5
430476,43,A,1,024,331,8.69,31.83,20,18.5,15.65,5.5
430497,43,A,1,024,315,8.69,31.83,20,20.2,14.45,9
430521,43,A,1,024,340,3.4,127.32,10,12.15,9,3
430554,43,A,1,024,370,8.89,31.83,25,26.35,21.45,15
430556,43,A,1,045,208,1.29,127.32,10,11.8,11.55,5.5
430570,43,A,1,043,379,7.69,31.83,20,19.3,14.65,9.5
430577,43,A,1,021,238,12.8,14.14,45,43.85,38,14
430586,43,A,1,045,291,2.2,127.32,15,14.05,11.45,5.19
430590,43,A,1,045,193,4.4,127.32,10,9.5,7.65,6
430591,43,A,1,021,227,8.1,31.83,30,29.6,24.25,16.5
430596,43,A,1,045,325,0.8,127.32,10,9.5,8.65,4
430597,43,A,1,025,252,8.5,31.83,35,32.95,30.25,15.5
430600,43,A,1,024,196,7.9,31.83,20,20.6,13.15,8.3
430613,43,A,1,045,376,4.09,127.32,15,14.6,12.6,7.5
430624,43,A,1,024,325,7,31.83,30,29.35,22.4,11.39
430630,43,A,1,021,382,3.09,127.32,25,23.1,19.6,11.89
430631,43,A,1,021,248,3,127.32,15,15.95,14.75,10.8
430632,43,A,1,024,141,6.69,31.83,25,26.65,23.85,12
430635,43,A,1,024,116,8.5,31.83,20,17.75,15.3,9.5
430638,43,A,1,045,364,2.29,127.32,10,8.6,7.7,5
430646,43,A,1,021,377,7.3,31.83,15,15.25,13.05,8.3
430670,43,A,1,024,290,7.5,31.83,25,24.75,20.4,12.3
430673,43,A,1,025,356,2.5,127.32,15,16.3,14.8,8.19
430677,43,A,1,021,357,7,31.83,20,21.95,19.15,15.5
430679,43,A,1,021,195,11.19,14.14,35,32.6,28.75,11.39
430681,43,A,1,021,231,8.6,31.83,20,20.7,17.25,9.8
430683,43,A,1,045,336,0.8,127.32,10,8.55,8.3,5.4
430685,43,A,1,044,212,6.8,31.83,20,22.15,17.45,11.19
430696,43,A,1,021,397,9.39,31.83,20,17.85,13.85,8.5
430714,43,A,1,021,214,9,31.83,30,27.65,23.75,12.69
430719,43,A,1,021,294,4.09,127.32,20,19.15,15.1,11.5
430723,43,A,1,045,264,3.5,127.32,10,12.35,9.6,4
430726,43,A,1,021,300,7.59,31.83,20,20.55,18.4,10.39
430729,43,A,1,024,218,13.5,14.14,35,35.35,28.75,11
430730,43,A,1,044,172,4.8,127.32,10,8,7.75,4
430731,43,A,1,025,169,9.5,31.83,20,21.2,17.5,9
430738,43,A,1,025,294,9.8,31.83,15,16.85,16.65,7.3
430742,43,A,1,021,345,7.59,31.83,15,17.35,16.75,8.3
430743,43,A,1,045,180,10.6,14.14,15,16.35,12.85,5.5
430745,43,A,1,023,292,9.69,31.83,30,29.05,27.95,11
430746,43,A,1,045,196,4.8,127.32,15,13.9,12.05,5.8
430748,43,A,1,045,228,5.3,31.83,15,15.8,13.9,7.09
430752,43,A,1,045,271,9.19,31.83,15,13.7,12.6,5.5
430757,43,A,1,024,320,6.09,31.83,25,25.95,20.2,9.1
430760,43,A,1,024,296,8.19,31.83,20,20.35,19.1,9.8
430770,43,A,1,045,207,3.4,127.32,10,9.55,7.9,5
430775,43,A,1,023,370,14.69,14.14,40,41.95,37.45,9.5
430780,43,A,1,045,188,5.9,31.83,15,14.65,14.05,4.9
430782,43,A,1,045,274,6.4,31.83,15,14.8,14.7,7.19
430784,43,A,1,045,148,5.09,31.83,20,21.95,18.15,6.69
430785,43,A,1,045,189,1.89,127.32,10,12,11.3,5.8
430794,43,A,1,024,288,10.69,14.14,30,28.45,25.75,12.19
430802,43,A,1,024,266,8.19,31.83,30,31,27.95,14.5
430820,43,A,1,024,352,4.19,127.32,30,32,25.05,12.1
430824,43,A,1,024,187,6.3,31.83,25,23.4,18.75,16.89
430827,43,A,1,024,285,5.59,31.83,20,17.5,12.55,11.8
430861,43,A,1,024,381,9.39,31.83,20,18.8,15.8,9.5
430892,43,A,1,024,212,4.19,127.32,10,11.35,9.9,5.5
430897,43,A,1,024,320,8.8,31.83,20,20.8,19.9,6.19
430907,43,A,1,024,347,4.9,127.32,25,23.65,23.6,9
430919,43,A,1,024,365,6.3,31.83,20,18.65,15.85,6.5
430927,43,A,1,024,264,2.4,127.32,15,13.15,12.25,7
430928,43,A,1,024,358,9.1,31.83,20,20.25,17.8,8.5
430957,43,A,1,024,187,2.59,127.32,15,17.45,15.1,9.5
430960,43,A,1,024,176,5.9,31.83,20,21.15,16.35,10.5
430969,43,A,1,024,203,9.69,31.83,20,17.7,14.55,9
430978,43,A,1,024,263,11.8,14.14,25,25.5,23.5,10.19
430983,43,A,1,024,393,6.19,31.83,20,18.6,18.3,8
431024,43,A,1,024,388,4.69,127.32,15,14.5,10.55,5.5
431046,43,A,1,024,181,5.69,31.83,20,21.2,18.8,11.5
431047,43,A,1,024,332,9.89,31.83,15,15.65,14.3,13
431054,43,A,1,024,231,8.89,31.83,20,20.25,18.45,8
431077,43,A,1,024,282,2.79,127.32,20,19.05,12.65,8
431090,43,A,1,024,205,14.5,14.14,35,34.65,30.5,10
431102,43,A,1,024,349,9.69,31.83,35,34.95,22.75,11.5
431108,43,A,1,024,388,6.9,31.83,25,23.3,23,6
431109,43,A,1,024,161,9.5,31.83,20,17.9,14.55,9.5
431115,43,A,1,024,359,2.7,127.32,20,19.55,14.55,12
431127,43,A,1,024,180,7,31.83,15,15.25,13.35,7.8
